"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID111" , 0.084242251057149 , 0.0569114187608527 , 0.182354162003985 , 1.29133324753806 , -47.6350131394586 , -42.8350131394586 , 0.0139398411182694 , 0.488255265957612 , "" , 0.107902515353199 , 0.0400101315607156 , 0.0276322142545329 , 1.29189315811223 , "1|1|1|1|1|0.23|0.84|0.51|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 0.541254935237854 , 0.107902515353199 , 0.0400101315607156 , 0.0276322142545329 , "robust linear"
"ID112" , -0.937340843305583 , 0.0638002598060397 , 1.61850331923653e-06 , 1.46812745367853 , -45.3288477276117 , -40.5288477276117 , 0.0158452743623697 , -0.984168992683684 , "" , -0.934142341608506 , 0.0647337017246852 , 2.01745144981517e-06 , 1.46677403648212 , "0.74|1|0.53|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -6.02239791877101 , -0.934142341608506 , 0.0647337017246852 , 2.01745144981517e-06 , "robust linear"
"ID113" , -0.225102634731376 , 0.0378906555281337 , 0.00101593822252249 , 1.25455677369741 , -51.1382403359659 , -45.1382403359659 , 0.00785788715890252 , -0.924499490339146 , "" , -0.225102634731376 , 0.0378906555281337 , 0.00101593822252249 , 1.25455677369741 , "1|1|1|1|1|1|1|1" , "" , -0.46762526132288 , 0.210548937234258 , 0.0770331533817965 , 23.0992038447029 , 1.19664234251435 , -51.9834680628653 , -38.6501347295319 , 0.00720555175855317 , "" , -1.44628034572281 , -0.225102634731376 , 0.0378906555281337 , 0.00101593822252249 , "robust linear"
"ID121" , 0.481920967247097 , 0.103002664732237 , 0.000431492325288393 , 1.50236635171778 , -54.2822558053809 , -52.1004376235627 , 0.0348467069541446 , 0.792089152193888 , "" , 0.433362811609631 , 0.120185740504337 , 0.00451491789790918 , 1.51305491228485 , "0.55|0.67|1|1|1|0.98|1|1|1|1|1|1|1|1|0.83" , "" , 3.13791116990318 , 0.556290427246961 , 0.000108858259726436 , 54.9976231573775 , 1.61123260489576 , -82.9268134679856 , -78.9268134679856 , 0.0130592244591083 , "" , 3.09633347451909 , 0.433362811609631 , 0.120185740504337 , 0.00451491789790918 , "robust linear"
"ID122" , 0.747925076457178 , 0.141860713562499 , 0.000150934498614546 , 1.40451271203279 , -44.3585767819541 , -42.1767586001359 , 0.0485089317864179 , 0.825436920800968 , "" , 0.694852176974171 , 0.135098296393393 , 0.000234488725397618 , 1.40920596306892 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.59" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 4.80540505198482 , 0.694852176974171 , 0.135098296393393 , 0.000234488725397618 , "robust linear"
"ID123" , -0.127994518653766 , 0.0809777557796866 , 0.139951171365348 , 1.27954742957734 , -58.0190793849717 , -55.6190793849717 , 0.0265623923340661 , -0.41511317580281 , "" , -0.208925459736362 , 0.0495462282478734 , 0.00174395678371186 , 1.29503321949478 , "0.26|1|1|1|1|0.58|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , -0.822362461061817 , -0.208925459736362 , 0.0495462282478734 , 0.00174395678371186 , "robust linear"
"ID131" , -0.266744931034194 , 0.0371244902678062 , 0.00017976370619312 , 1.34178561896863 , -55.0920235929897 , -50.2920235929897 , 0.00921168373202411 , -0.938402764062632 , "" , -0.266744931034194 , 0.0371244902678062 , 0.00017976370619312 , 1.34178561896863 , "1|1|1|1|1|1|1|1|1" , "" , -0.283568797111786 , 0.153366206498952 , 0.113953422439595 , 1.52550911014745 , 0.751880514142676 , -53.1070665162208 , -43.1070665162208 , 0.00994144389467294 , "" , -1.71383134425023 , -0.266744931034194 , 0.0371244902678062 , 0.00017976370619312 , "robust linear"
"ID132" , -0.945296145297061 , 0.0836232488026805 , 9.48400860414573e-06 , 1.29623313941867 , -40.4339537349948 , -35.6339537349948 , 0.0207970232509245 , -0.973686625351094 , "" , -0.93923813699136 , 0.10022159236678 , 2.94284986627082e-05 , 1.2968278916723 , "1|1|1|0.99|1|0.67|1|1|1" , "" , -1.43930129750815 , 0.36971255419861 , 0.00804851959965911 , 10.9660743550126 , 0.896090844853826 , -41.776509599353 , -31.776509599353 , 0.0186563702367504 , "" , -6.07351058979014 , -0.93923813699136 , 0.10022159236678 , 2.94284986627082e-05 , "robust linear"
"ID133" , -3.5781833038061 , 0.663437451633602 , 0.000161803278689708 , 1.50491809162998 , -3.13467911536572 , -0.734679115365719 , 0.188604748188726 , -0.841397245018037 , "" , -2.91326620632736 , 0.496138843521016 , 0.000130764813508834 , 1.45526382364703 , "1|1|1|1|1|1|1|1|1|1|1|1|0.73|0.32" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , -22.9897628335798 , -2.91326620632736 , 0.496138843521016 , 0.000130764813508834 , "robust linear"
"ID141" , 0.0045866055707328 , 0.0420392440411992 , 0.914786954144378 , 1.40377434804489 , -81.0502207987506 , -78.8684026169324 , 0.0142776180670737 , 0.0302458699337437 , "" , 0.0045866055707328 , 0.0420392440411992 , 0.914786954144378 , 1.40377434804489 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 0.0294688576099949 , 0.0045866055707328 , 0.0420392440411992 , 0.914786954144378 , "robust linear"
"ID142" , 1.94372252190641 , 0.177670917835475 , 6.28393088518035e-08 , 1.27908639382057 , -37.6013208436964 , -35.4195026618782 , 0.0607635319850687 , 0.949748808736687 , "" , 1.9041377982546 , 0.205223736868631 , 8.0523017845501e-07 , 1.27789546916719 , "0.65|1|1|1|1|1|0.96|1|1|1|1|1|1|0.71|0.59" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 12.4883819522001 , 1.9041377982546 , 0.205223736868631 , 8.0523017845501e-07 , "robust linear"
"ID143" , -0.25603304987595 , 0.0561346206651381 , 0.000653529976078906 , 1.38953279054989 , -69.813743926141 , -67.413743926141 , 0.0174311419553384 , -0.796355578563322 , "" , -0.257582980598828 , 0.0687030928214871 , 0.00310594028048043 , 1.38926469887679 , "0.72|1|1|1|1|0.67|1|1|1|1|0.83|1|1|0.81" , "" , -1.23055453948077 , 0.480374903130093 , 0.0264405732560775 , 47.1133210708164 , 1.33304819076814 , -77.8660485457363 , -73.4216041012918 , 0.0127146285289792 , "" , -1.64500770207751 , -0.257582980598828 , 0.0687030928214871 , 0.00310594028048043 , "robust linear"
"ID161" , -0.405479852441076 , 0.0340228070760494 , 1.24831630427203e-07 , 1.4538881407239 , -78.6533254591898 , -75.9866587925231 , 0.0101395807896343 , -0.963390607888012 , "" , -0.380704782812502 , 0.0291950712143513 , 7.64576778311402e-08 , 1.44900791452087 , "0.92|0.33|1|1|1|0.94|1|1|1|1|1|1|1" , "" , -0.453503026967517 , 0.138827765601468 , 0.00847807258015863 , 2.65238281914043 , 0.912707280934541 , -76.8389270515523 , -71.8389270515523 , 0.0105588378715787 , "" , -2.60520069821454 , -0.380704782812502 , 0.0291950712143513 , 7.64576778311402e-08 , "robust linear"
"ID162" , 8.95094691881794 , 0.490218110654273 , 4.02782103090082e-10 , 1.39294770351611 , -8.21903834886453 , -5.81903834886453 , 0.157286547878615 , 0.982475029211541 , "" , 8.95094691881794 , 0.490218110654273 , 4.02782103090082e-10 , 1.39294770351611 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 57.5096716204278 , 8.95094691881794 , 0.490218110654273 , 4.02782103090082e-10 , "robust linear"
"ID163" , -0.445509508066216 , 0.0376301711594312 , 3.31635740200554e-07 , 1.45813031639509 , -69.9568160703896 , -66.9568160703896 , 0.0111910034028739 , -0.966129841316218 , "" , -0.438140504383389 , 0.0392876868100087 , 5.23533846236638e-07 , 1.45830683035396 , "1|0.79|1|1|1|1|0.84|0.36|1|1|1|0.82" , "" , -0.629651805328753 , 0.173087578209596 , 0.00541971136582557 , 8.36187844867708 , 1.22600780216422 , -70.0965726987204 , -64.3822869844347 , 0.0107901525747714 , "" , -2.86239050963447 , -0.438140504383389 , 0.0392876868100087 , 5.23533846236638e-07 , "robust linear"
"ID211" , -0.361736801658599 , 0.0392111814709268 , 9.1553772083762e-05 , 1.38543064466786 , -46.5499573628751 , -40.5499573628751 , 0.0104676070612216 , -0.966510944246126 , "" , -0.361736801658599 , 0.0392111814709268 , 9.1553772083762e-05 , 1.38543064466786 , "1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -2.32415239025427 , -0.361736801658599 , 0.0392111814709268 , 9.1553772083762e-05 , "robust linear"
