"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID311" , -0.110694892248911 , 0.014167533282109 , 2.11397757774954e-08 , 1.39110203207468 , -169.405318823168 , -168.445318823168 , 0.0121863514622258 , -0.832674457403112 , "" , -0.113137686930347 , 0.0153935773671322 , 6.2080928344188e-08 , 1.392209106181 , "1|1|1|1|0.62|1|1|1|1|1|0.85|1|1|1|0.77|1|0.98|1|1|1|1|0.97|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , -0.292738923934727 , -0.113137686930347 , 0.0153935773671322 , 6.2080928344188e-08 , "robust linear"
"ID312" , 0.0845459165852852 , 0.0235540569521738 , 0.00120404883917486 , 1.45685756406718 , -148.489028821821 , -147.600139932932 , 0.0207055939655055 , 0.554628728511698 , "" , 0.0697979141895662 , 0.0215631240437489 , 0.00342936755410647 , 1.45892642259801 , "1|1|1|1|0.94|1|1|1|1|1|1|1|1|0.7|1|1|1|1|1|1|1|1|0.98|0.93|1|1|1|1|1|1|0.35" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 0.223586473968451 , 0.0697979141895662 , 0.0215631240437489 , 0.00342936755410647 , "robust linear"
"ID313" , -0.0069449167711067 , 0.0161527805405803 , 0.670773336390956 , 1.56714988855531 , -156.969627363967 , -155.969627363967 , 0.01367677056671 , -0.0840223137948139 , "" , -0.00784364484084322 , 0.0163293071738268 , 0.6320742572039 , 1.56764879323877 , "1|1|1|1|1|1|1|0.6|1|1|1|1|1|0.71|0.88|1|1|1|1|1|1|1|1|0.79|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "step factor 5.82077e-11 reduced below 'minFactor' of 1e-10" , -0.0183662264905454 , -0.00784364484084322 , 0.0163293071738268 , 0.6320742572039 , "robust linear"
"ID314" , 0.197797335420577 , 0.0178467250395532 , 6.35944457994805e-11 , 1.24282795549659 , -143.587217202818 , -142.496308111909 , 0.0141846564073332 , 0.914632034940163 , "" , 0.191763582586936 , 0.0168623080176811 , 4.51359007967355e-11 , 1.24352549166183 , "1|1|1|1|1|1|1|1|1|1|0.79|1|1|1|1|1|1|1|1|1|1|1|1|1|0.54|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 0.523086277530981 , 0.191763582586936 , 0.0168623080176811 , 4.51359007967355e-11 , "robust linear"
"ID321" , -0.10860757320226 , 0.0127954640922905 , 4.22208702659463e-09 , 1.53712766701281 , -175.905360595246 , -174.945360595246 , 0.0108943783355733 , -0.852876659357348 , "" , -0.110969913155897 , 0.0118525068282351 , 6.22072919671196e-10 , 1.53767105084364 , "1|1|1|1|0.6|1|1|1|0.46|1|1|1|1|1|1|0.75|1|1|1|1|1|1|1|0.42|1|1|0.88|1|0.82" , "" , -0.120486103625289 , 0.0545679002315924 , 0.0362675027575097 , 1.26211053449001 , 1.23483874345493 , -173.944867426009 , -172.278200759342 , 0.0110943494361577 , "" , -0.287218890270923 , -0.110969913155897 , 0.0118525068282351 , 6.22072919671196e-10 , "robust linear"
"ID322" , 2.335351623113 , 0.0463989852763601 , 8.8906132725526e-30 , 1.58008477842797 , -106.459499247761 , -105.570610358872 , 0.0407843953742524 , 0.994324931034142 , "" , 2.37444905014103 , 0.0400229203567963 , 1.30841219778841e-31 , 1.56636075474747 , "1|0.38|1|0.43|1|1|1|1|1|1|1|0.72|1|1|0.78|1|1|1|0.95|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 6.17596988686749 , 2.37444905014103 , 0.0400229203567963 , 1.30841219778841e-31 , "robust linear"
"ID323" , -0.0150392991946147 , 0.0158296100358195 , 0.35116974517836 , 1.5591798815147 , -154.772459251797 , -153.728980990927 , 0.0128074816288345 , -0.186674658314666 , "" , -0.013742328374976 , 0.0145085212429901 , 0.34546532858136 , 1.55844976382655 , "1|1|0.73|1|1|1|1|1|1|0.64|1|1|1|0.43|1|1|1|0.7|1|1|1|0.73|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , -0.039772280125303 , -0.013742328374976 , 0.0145085212429901 , 0.34546532858136 , "robust linear"
"ID324" , 0.0814923789470235 , 0.0219638655008175 , 0.00109183905536502 , 1.33630147464347 , -132.438020321863 , -131.347111230954 , 0.0175766001068682 , 0.603748611352244 , "" , 0.0906869033638835 , 0.013898839749738 , 7.81878145053673e-07 , 1.3342515123266 , "1|1|1|0.3|1|1|1|1|1|0.23|1|1|1|1|1|0.37|0.81|1|1|0.61|0.61|1|0.35|1|1|1" , "" , 0.0993907467087968 , 0.100344710752642 , 0.33223975427008 , 2.45897088551077 , 1.4632651642818 , -130.494095483402 , -128.58933357864 , 0.0179352834787963 , "" , 0.215511220411051 , 0.0906869033638835 , 0.013898839749738 , 7.81878145053673e-07 , "robust linear"
"ID331" , 0.0827360837325727 , 0.0190840842454644 , 0.000194130130193984 , 1.3436330016418 , -148.525544834732 , -147.525544834732 , 0.0159026538270873 , 0.647750606247443 , "" , 0.0777843418294196 , 0.021254136679153 , 0.00115238322725555 , 1.34421212294515 , "1|1|0.95|1|1|1|1|1|0.93|1|1|1|1|1|1|1|1|1|1|1|0.81|1|1|0.57|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , 0.218800268290474 , 0.0777843418294196 , 0.021254136679153 , 0.00115238322725555 , "robust linear"
"ID332" , -0.0276521060314743 , 0.0154689540169475 , 0.084298510575463 , 1.56943677665761 , -174.504924058372 , -173.616035169483 , 0.0136098349591514 , -0.315043041036342 , "" , -0.0260918544265129 , 0.0168518609482674 , 0.140871637456144 , 1.56904800852496 , "0.72|1|0.69|0.68|0.78|0.64|1|0.66|1|0.87|1|1|1|0.88|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -0.0731275635191956 , -0.0260918544265129 , 0.0168518609482674 , 0.140871637456144 , "robust linear"
